"participant","correct_width","response_width_degree","width_deviation","exp_version"
702,0.25,0.25,0,"Exp1B"
702,0.55,0.55,0,"Exp1B"
702,0.4,0.3,-0.1,"Exp1B"
704,0.4,0.35,-0.05,"Exp1B"
704,0.55,0.4,-0.15,"Exp1B"
704,0.25,0.3,0.05,"Exp1B"
704,0.4,0.3,-0.1,"Exp1B"
704,0.25,0.25,0,"Exp1B"
704,0.55,0.55,0,"Exp1B"
704,0.4,0.4,0,"Exp1B"
704,0.25,0.2,-0.05,"Exp1B"
704,0.55,0.35,-0.2,"Exp1B"
704,0.25,0.25,0,"Exp1B"
704,0.4,0.35,-0.05,"Exp1B"
704,0.55,0.4,-0.15,"Exp1B"
704,0.4,0.45,0.05,"Exp1B"
704,0.25,0.2,-0.05,"Exp1B"
704,0.55,0.5,-0.05,"Exp1B"
704,0.55,0.45,-0.1,"Exp1B"
704,0.4,0.55,0.15,"Exp1B"
704,0.25,0.3,0.05,"Exp1B"
705,0.25,0.2,-0.05,"Exp1B"
705,0.55,0.55,0,"Exp1B"
705,0.4,0.4,0,"Exp1B"
705,0.25,0.2,-0.05,"Exp1B"
705,0.4,0.45,0.05,"Exp1B"
705,0.55,0.55,0,"Exp1B"
705,0.25,0.3,0.05,"Exp1B"
705,0.4,0.5,0.1,"Exp1B"
705,0.55,0.6,0.0499999999999999,"Exp1B"
705,0.55,0.6,0.0499999999999999,"Exp1B"
705,0.25,0.15,-0.1,"Exp1B"
705,0.4,0.45,0.05,"Exp1B"
705,0.4,0.45,0.05,"Exp1B"
705,0.55,0.55,0,"Exp1B"
705,0.25,0.2,-0.05,"Exp1B"
705,0.25,0.1,-0.15,"Exp1B"
705,0.4,0.45,0.05,"Exp1B"
705,0.55,0.55,0,"Exp1B"
706,0.55,0.75,0.2,"Exp1B"
706,0.25,0.25,0,"Exp1B"
706,0.4,0.55,0.15,"Exp1B"
706,0.4,0.5,0.1,"Exp1B"
706,0.25,0.2,-0.05,"Exp1B"
706,0.55,0.7,0.15,"Exp1B"
706,0.55,0.65,0.1,"Exp1B"
706,0.25,0.2,-0.05,"Exp1B"
706,0.4,0.6,0.2,"Exp1B"
706,0.55,0.65,0.1,"Exp1B"
706,0.25,0.2,-0.05,"Exp1B"
706,0.4,0.45,0.05,"Exp1B"
706,0.55,0.65,0.1,"Exp1B"
706,0.25,0.3,0.05,"Exp1B"
706,0.4,0.5,0.1,"Exp1B"
706,0.4,0.55,0.15,"Exp1B"
706,0.25,0.25,0,"Exp1B"
706,0.55,0.65,0.1,"Exp1B"
707,0.4,0.1,-0.3,"Exp1B"
707,0.55,0.35,-0.2,"Exp1B"
707,0.25,0.25,0,"Exp1B"
707,0.4,0.5,0.1,"Exp1B"
707,0.25,0.2,-0.05,"Exp1B"
707,0.55,0.55,0,"Exp1B"
707,0.55,0.6,0.0499999999999999,"Exp1B"
707,0.4,0.3,-0.1,"Exp1B"
707,0.25,0.2,-0.05,"Exp1B"
707,0.55,0.55,0,"Exp1B"
707,0.4,0.4,0,"Exp1B"
707,0.25,0.2,-0.05,"Exp1B"
707,0.25,0.25,0,"Exp1B"
707,0.55,0.65,0.1,"Exp1B"
707,0.4,0.7,0.3,"Exp1B"
707,0.55,0.65,0.1,"Exp1B"
707,0.4,0.7,0.3,"Exp1B"
707,0.25,0.35,0.1,"Exp1B"
708,0.25,0.25,0,"Exp1B"
708,0.4,0.4,0,"Exp1B"
708,0.55,0.65,0.1,"Exp1B"
708,0.55,0.7,0.15,"Exp1B"
708,0.4,0.35,-0.05,"Exp1B"
708,0.25,0.05,-0.2,"Exp1B"
708,0.4,0.5,0.1,"Exp1B"
708,0.55,0.55,0,"Exp1B"
