amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_lengt_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_3.stopped,text_4.started,text_4.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,133.06138450000435,14.433198499958962,None,,,,,,,,,,,,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,num_3,5.632723400136456,num_3,0.25,1.2,0.39999999999999997,1.2,15.2822,45.8466,return,11.438758000032976,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,num_3,3.0384943999815732,num_3,0.15,0.6,0.15,0.7,5.73083,26.74385,return,5.507777400081977,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
5,9.25,9.625,10,10.375,10.75,0.375,0.125,0.25,1.75,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,6,,,,,,,,,,,,,num_4,3.342264899984002,num_4,0.25,1.3,0.25,0.8,9.55138,30.5644,return,5.799561500083655,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
3,8.2,10,11.8,0,0,1.7999999999999998,1.4,0.4,4,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,num_3,2.7069470998831093,num_3,0.2,0.8,0.3,1.25,11.46165,47.75688,return,6.78944809990935,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
5,9,9.5,10,10.5,11,0.5,0.09999999999999998,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,8,,,,,,,,,,,,,num_4,4.905107200145721,num_4,0.1,0.7,0.39999999999999997,0.8,15.2822,30.5644,return,9.715698700165376,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
4,9.5,9.833333333333334,10.166666666666666,10.5,0,0.33333333333333337,0.23333333333333336,0.1,1.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,3,,,,,,,,,,,,,num_4,2.220218400005251,num_4,0.4,1.0,0.10000000000000007,0.8,3.82055,30.5644,return,10.706101399846375,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
3,9.5,10,10.5,0,0,0.5,0.4,0.1,1.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,0,,,,,,,,,,,,,num_3,1.6551393000409007,num_3,0.35,1.1,0.10000000000000002,0.95,3.82055,36.29523,return,6.547822399996221,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
5,8.6,9.3,10,10.7,11.4,0.7,0.29999999999999993,0.4,3.1999999999999997,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,num_5,2.181129799922928,num_5,0.1,0.7,0.3,0.75,11.46165,28.65413,return,10.908906700089574,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
3,9,10,11,0,0,1,0.9,0.1,2.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,1,,,,,,,,,,,,,num_3,3.545542099978775,num_3,0.4,1,0.25000000000000006,0.95,9.55138,36.29523,return,6.186777300201356,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,94.2415517999325,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,3,7.800000000000001,10,12.2,0,0,2.1999999999999997,1.7999999999999998,0.4,4.8,10,match,36.05,281,361,440,0,0,9,9,9,0,0,,,,,0,0,0,0,0,0,0,39,,,,,num_3,1.8545515001751482,num_3,0.4,0.7,0.15000000000000008,1.1,5.73083,42.02605,return,5.683017200091854,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,5,8.6,9.3,10,10.7,11.4,0.7,0.44999999999999996,0.25,3.05,10,initial,36.05,310,335,361,386,411,9,9,9,9,9,,,,,0,0,0,0,0,1,1,42,,,,,num_4,1.395089300116524,num_4,0.2,0.9,0.2,0.9,7.6411,34.38495,return,2.1221422001253814,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,4,8.35,9.45,10.55,11.65,0,1.1,0.8500000000000001,0.25,3.5500000000000003,10,initial,36.05,301,341,380,420,0,9,9,9,9,0,,,,,0,0,0,0,0,2,2,19,,,,,num_4,1.5803361998405308,num_4,0.4,0.7,0.15000000000000008,0.8,5.73083,30.5644,return,5.916218099882826,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,4,8.95,9.65,10.35,11.05,0,0.7,0.1499999999999999,0.55,2.65,10,initial,36.05,323,348,373,398,0,9,9,9,9,0,,,,,0,0,0,0,0,3,3,23,,,,,num_4,2.04115549987182,num_4,0.45,0.8,0.55,0.8,21.01303,30.5644,return,3.3341465999837965,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.5,0.4,2.2,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,0,0,0,0,0,4,4,15,,,,,num_3,1.433998900000006,num_3,0.35,0.4,1.4000000000000006,0.1,53.48771,3.82055,return,23.983520899899304,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,3,8.2,10,11.8,0,0,1.7999999999999998,1.4,0.4,4,10,match,36.05,296,361,425,0,0,9,9,9,0,0,,,,,0,0,0,0,0,5,5,51,,,,,num_3,1.2838817997835577,num_3,0.15,0.7,0.25,1.3,9.55138,49.66716,return,6.51104800007306,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,4,8.35,9.45,10.55,11.65,0,1.1,0.7000000000000001,0.4,3.7,10,initial,36.05,301,341,380,420,0,9,9,9,9,0,,,,,0,0,0,0,0,6,6,21,,,,,num_4,2.1739932000637054,num_4,0.3,0.8,0.2,1.7,7.6411,64.94936,return,4.96557080000639,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,0,0,0,0,0,7,7,46,,,,,num_4,2.19425980001688,num_4,0.45,0.8,0.45,0.8,17.19248,30.5644,return,1.5777037001680583,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,3,8.2,10,11.8,0,0,1.8,1.25,0.55,4.15,10,match,36.05,296,361,425,0,0,9,9,9,0,0,,,,,0,0,0,0,0,8,8,47,,,,,num_3,1.107572800014168,num_3,0.45,0.8,0.35000000000000003,1.2,13.37193,45.8466,return,5.4146538998465985,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,3,7.8,10,12.2,0,0,2.2,1.9500000000000002,0.25,4.65,10,match,36.05,281,361,440,0,0,9,9,9,0,0,,,,,0,0,0,0,0,9,9,37,,,,,num_4,1.8790144000668079,num_4,0.45,0.7,0.15000000000000008,1.1,5.73083,42.02605,return,5.754793300060555,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,0,0,0,0,0,10,10,28,,,,,num_3,1.2978219999931753,num_3,0.3,0.9,0.49999999999999994,1.05,19.10275,40.11578,return,5.05264709983021,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,4,9.3,9.766666666666667,10.233333333333333,10.7,0,0.4666666666666667,0.06666666666666665,0.4,1.8,10,match,36.05,335,352,369,386,0,9,9,9,9,0,,,,,0,0,0,0,0,11,11,10,,,,,num_4,1.2221368001773953,num_4,0.25,1.3,0.3,0.5,11.46165,19.10275,return,5.796394599834457,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,5,8.65,9.325,10,10.675,11.35,0.675,0.125,0.55,3.25,10,match,36.05,312,336,361,385,409,9,9,9,9,9,,,,,0,0,0,0,0,12,12,29,,,,,num_5,1.363902600016445,num_5,0.15,1.0,0.35,0.6,13.37193,22.9233,return,5.308061399962753,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,3,8.9,10,11.1,0,0,1.1,0.8500000000000001,0.25,2.45,10,initial,36.05,321,361,400,0,0,9,9,9,0,0,,,,,0,0,0,0,0,13,13,2,,,,,num_3,1.09287939989008,num_3,0.2,1.3,0.2,1.0,7.6411,38.2055,return,4.456087100086734,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,3,9.3,10,10.7,0,0,0.7,0.29999999999999993,0.4,1.8,10,initial,36.05,335,361,386,0,0,9,9,9,0,0,,,,,0,0,0,0,0,14,14,9,,,,,num_3,1.129050699993968,num_3,0.45,1.3,0.45,1.0,17.19248,38.2055,return,2.2188109001144767,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,4,9.1,9.7,10.3,10.9,0,0.6,0.04999999999999997,0.55,2.35,10,match,36.05,328,350,371,393,0,9,9,9,9,0,,,,,0,0,0,0,0,15,15,12,,,,,num_4,1.487822099821642,num_4,0.35,0.4,0.35,0.4,13.37193,15.2822,return,4.211201900150627,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,5,7.8,8.9,10,11.1,12.2,1.1,0.8500000000000001,0.25,4.65,10,initial,36.05,281,321,361,400,440,9,9,9,9,9,,,,,0,0,0,0,0,16,16,36,,,,,num_5,1.073625500081107,num_5,0.2,0.8,0.2,0.8,7.6411,30.5644,return,1.317504599923268,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,4,9.1,9.7,10.3,10.9,0,0.5999999999999999,0.3499999999999999,0.25,2.05,10,match,36.05,328,350,371,393,0,9,9,9,9,0,,,,,0,0,0,0,0,17,17,14,,,,,num_4,1.0443569999188185,num_4,0.45,0.5,0.15000000000000008,0.9,5.73083,34.38495,return,5.86570670013316,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,3,9.3,10,10.7,0,0,0.7,0.44999999999999996,0.25,1.65,10,initial,36.05,335,361,386,0,0,9,9,9,0,0,,,,,0,0,0,0,0,18,18,7,,,,,num_3,1.1763480000663549,num_3,0.35,0.5,0.2,0.65,7.6411,24.83358,return,5.128404800081626,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,4,9.3,9.766666666666667,10.233333333333333,10.7,0,0.4666666666666667,0.21666666666666665,0.25,1.65,10,match,36.05,335,352,369,386,0,9,9,9,9,0,,,,,0,0,0,0,0,19,19,8,,,,,num_4,0.978429599897936,num_4,0.1,1.2,0.2,0.7,7.6411,26.74385,return,5.242369400104508,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,5,8.275,9.1375,10,10.8625,11.725,0.8625,0.6125,0.25,3.7,10,match,36.05,298,329,361,392,423,9,9,9,9,9,,,,,0,0,0,0,0,20,20,22,,,,,num_5,1.0738957000430673,num_5,0.35,1.2,0.2,0.75,7.6411,28.65413,return,5.87770239985548,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.5,0.4,4,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,0,0,0,0,0,21,21,50,,,,,num_5,1.069740200182423,num_5,0.25,0.9,0.35,0.9,13.37193,34.38495,return,5.24884059978649,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,5,8.6,9.3,10,10.7,11.4,0.7,0.1499999999999999,0.55,3.3499999999999996,10,initial,36.05,310,335,361,386,411,9,9,9,9,9,,,,,0,0,0,0,0,22,22,40,,,,,num_5,0.8772754000965506,num_5,0.3,0.6,0.39999999999999997,0.55,15.2822,21.01303,return,3.9450792998541147,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,3,7.8,10,12.2,0,0,2.2,1.65,0.55,4.95,10,match,36.05,281,361,440,0,0,9,9,9,0,0,,,,,0,0,0,0,0,23,23,35,,,,,num_3,1.1082787001505494,num_3,0.25,1,0.7000000000000001,1.4,26.74385,53.48771,return,6.07082109991461,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.65,0.25,3.85,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,0,0,0,0,0,24,24,48,,,,,num_5,1.2814310998655856,num_5,0.3,0.9,0.15000000000000002,0.9,5.73083,34.38495,return,2.3489333998877555,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,3,8.2,10,11.8,0,0,1.8,1.55,0.25,3.85,10,match,36.05,296,361,425,0,0,9,9,9,0,0,,,,,0,0,0,0,0,25,25,49,,,,,num_3,1.0322624000255018,num_3,0.45,0.6,0.10000000000000007,1.35,3.82055,51.57743,return,8.446441899985075,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,5,8.6,9.3,10,10.7,11.4,0.7,0.29999999999999993,0.4,3.1999999999999997,10,initial,36.05,310,335,361,386,411,9,9,9,9,9,,,,,0,0,0,0,0,26,26,44,,,,,num_4,1.5979980998672545,num_4,0.1,0.9,0.39999999999999997,0.7,15.2822,26.74385,return,4.461196100106463,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,3,8.9,10,11.1,0,0,1.1,0.55,0.55,2.75,10,initial,36.05,321,361,400,0,0,9,9,9,0,0,,,,,0,0,0,0,0,27,27,0,,,,,num_3,1.165567300049588,num_3,0.45,1.1,0.55,1.1,21.01303,42.02605,return,3.491266399854794,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,5,8.95,9.475,10,10.525,11.05,0.525,0.275,0.25,2.35,10,match,36.05,323,342,361,379,398,9,9,9,9,9,,,,,0,0,0,0,0,28,28,25,,,,,num_4,0.9815354999154806,num_4,0.15,0.6,0.15,0.6,5.73083,22.9233,return,0.9459911999292672,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,4,8.95,9.65,10.35,11.05,0,0.7,0.29999999999999993,0.4,2.5,10,initial,36.05,323,348,373,398,0,9,9,9,9,0,,,,,0,0,0,0,0,29,29,26,,,,,num_3,1.0661621999461204,num_3,0.4,0.8,0.5,0.75,19.10275,28.65413,return,4.8048841001000255,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,5,8.35,9.175,10,10.825,11.65,0.825,0.575,0.25,3.55,10,match,36.05,301,331,361,390,420,9,9,9,9,9,,,,,0,0,0,0,0,30,30,20,,,,,num_5,2.161642000079155,num_5,0.45,0.6,0.10000000000000007,0.6,3.82055,22.9233,return,5.38608460011892,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,5,8.95,9.475,10,10.525,11.05,0.525,0.125,0.4,2.5,10,match,36.05,323,342,361,379,398,9,9,9,9,9,,,,,0,0,0,0,0,31,31,27,,,,,num_4,1.7821718999184668,num_4,0.45,1.0,0.5,0.7,19.10275,26.74385,return,2.9745349001605064,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,4,8.9,9.633333333333333,10.366666666666667,11.1,0,0.7333333333333333,0.18333333333333326,0.55,2.75,10,match,36.05,321,347,374,400,0,9,9,9,9,0,,,,,0,0,0,0,0,32,32,1,,,,,num_4,1.092133899917826,num_4,0.2,1.0,0.65,0.9,24.83358,34.38495,return,5.0472762999124825,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,5,8.65,9.325,10,10.675,11.35,0.675,0.42500000000000004,0.25,2.95,10,match,36.05,312,336,361,385,409,9,9,9,9,9,,,,,0,0,0,0,0,33,33,31,,,,,num_5,1.34292189986445,num_5,0.3,0.7,0.3,0.7,11.46165,26.74385,return,1.2882652999833226,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,5,8.65,9.325,10,10.675,11.35,0.675,0.275,0.4,3.1,10,match,36.05,312,336,361,385,409,9,9,9,9,9,,,,,0,0,0,0,0,34,34,33,,,,,num_5,1.9815015001222491,num_5,0.1,0.7,0.35,0.7,13.37193,26.74385,return,3.325695199891925,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.65,0.25,2.95,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,0,0,0,0,0,35,35,30,,,,,num_4,1.0397767000831664,num_4,0.35,0.8,0.10000000000000002,0.7,3.82055,26.74385,return,2.6291057001799345,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,4,8.9,9.633333333333333,10.366666666666667,11.1,0,0.7333333333333334,0.4833333333333334,0.25,2.45,10,match,36.05,321,347,374,400,0,9,9,9,9,0,,,,,0,0,0,0,0,36,36,3,,,,,num_4,0.7871566000394523,num_4,0.2,0.7,0.15000000000000002,0.5,5.73083,19.10275,return,5.1862081999424845,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,5,7.8,8.9,10,11.1,12.2,1.1,0.55,0.55,4.95,10,initial,36.05,281,321,361,400,440,9,9,9,9,9,,,,,0,0,0,0,0,37,37,34,,,,,num_4,0.9925450999289751,num_4,0.1,0.6,0.49999999999999994,0.9,19.10275,34.38495,return,5.831627999898046,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,0,0,0,0,0,38,38,32,,,,,num_4,0.997858100105077,num_4,0.25,0.6,0.3,0.7,11.46165,26.74385,return,3.228940499946475,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,5,8.35,9.175,10,10.825,11.65,0.8250000000000001,0.275,0.55,3.85,10,match,36.05,301,331,361,390,420,9,9,9,9,9,,,,,0,0,0,0,0,39,39,18,,,,,num_4,1.3010458999779075,num_4,0.4,0.8,0.55,0.9,21.01303,34.38495,return,3.6157666000071913,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,3,8.9,10,11.1,0,0,1.1,0.7000000000000001,0.4,2.6000000000000005,10,initial,36.05,321,361,400,0,0,9,9,9,0,0,,,,,0,0,0,0,0,40,40,4,,,,,num_3,1.126573600107804,num_3,0.15,1,0.6,0.95,22.9233,36.29523,return,4.488049200037494,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.65,0.25,2.05,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,0,0,0,0,0,41,41,13,,,,,num_3,1.275574899977073,num_3,0.45,1,0.20000000000000007,0.85,7.6411,32.47468,return,2.9354950000997633,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,4,9.1,9.7,10.3,10.9,0,0.6000000000000001,0.20000000000000004,0.4,2.2,10,match,36.05,328,350,371,393,0,9,9,9,9,0,,,,,0,0,0,0,0,42,42,16,,,,,num_3,0.9597646999172866,num_3,0.35,1.1,0.65,1.05,24.83358,40.11578,return,4.152188500156626,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
,,,,,,,,,,,,,,,,4,8.825,9.608333333333333,10.391666666666667,11.175,0,0.7833333333333333,0.5333333333333333,0.25,2.6,10,match,36.05,318,346,375,403,0,9,9,9,9,0,,,,,0,0,0,0,0,43,43,5,,,,,num_4,1.227853300049901,num_4,0.2,0.9,0.2,0.9,7.6411,34.38495,return,0.9417896999511868,,,,,,,701,22,female,left_right_width,2024-05-09_10h45.13.192,exp1,2021.2.3,59.99570430280008,
