amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_lengt_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_4.started,key_resp_2.started,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.7451118,c,180.2587863,,,,,,,,,,,,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
3,9.5,10,10.5,0,0,0.5,0.4,0.1,1.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,num_3,3.3417572,num_3,0.25,0.7,0.1,0.55,3.82055,21.01303,return,15.584863,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
5,8.6,9.3,10,10.7,11.4,0.7,0.3,0.4,3.2,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,7,,,,,,,,,,,,num_4,3.592102,num_4,0.2,1.1,0.5,0.9,19.10275,34.38495,return,7.0258734,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
3,9,10,11,0,0,1,0.9,0.1,2.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,num_3,3.1573277,num_3,0.55,0.7,0.1,0.75,3.82055,28.65413,return,11.8071699,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,5,,,,,,,,,,,,num_4,3.0439131,num_4,0.3,1.3,0.6,0.9,22.9233,34.38495,return,12.9488161,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
5,9,9.5,10,10.5,11,0.5,0.1,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,8,,,,,,,,,,,,num_4,5.2277236,num_4,0.35,0.8,0.65,0.8,24.83358,30.5644,return,16.3274067,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
3,8.2,10,11.8,0,0,1.8,1.4,0.4,4,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,num_4,5.2583962,num_4,0.2,1,0.45,1,17.19248,38.2055,return,11.8712758,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
5,9.25,9.625,10,10.375,10.75,0.375,0.125,0.25,1.75,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,num_5,2.935663,num_5,0.2,0.8,0.35,0.6,13.37193,22.9233,return,16.8895224,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,4,,,,,,,,,,,,num_4,10.1258082,num_4,0.4,0.6,0.15,0.5,5.73083,19.10275,return,17.6517442,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
4,9.5,9.833333333,10.16666667,10.5,0,0.333333333,0.233333333,0.1,1.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,3,,,,,,,,,,,,num_3,5.3032277,num_3,0.25,0.7,0.3,0.55,11.46165,21.01303,return,14.1245364,,,,,,703,20,male,left_right_width,2024-05-14_09h36.14.190,exp1,2023.1.0,60.14433428
