amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_lengt_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,posx,setsize_cobdi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,first.thisRepN,first.thisTrialN,first.thisN,first.thisIndex,second.thisRepN,second.thisTrialN,second.thisN,second.thisIndex,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_4.started,key_resp_2.started,text_2.started,key_resp_2.keys,key_resp_2.rt,adjusting.started,next.keys,next.rt,text_control2.started,key_resp.started,key_resp.corr,text_bye.started,text_bye.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.77903799992055,c,175.1818823000649,,,,,,,,,,,,,,,,,,,,,,,,,,,,710,22,male,left_right_width,2024-05-27_13h29.02.137,exp1,2023.1.0,59.993184750254386,
3,8.2,10,11.8,0,0,1.7999999999999998,1.4,0.4,4,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,num_3,8.291705599986017,num_3,0.35,1.2,0.35,1.5,13.37193,57.30826,return,22.679560599965043,,,,,,,,,,,,,,,,,710,22,male,left_right_width,2024-05-27_13h29.02.137,exp1,2023.1.0,59.993184750254386,
4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,num_3,4.003061800030991,num_3,0.25,1,0.3,1.2,11.46165,45.8466,return,4.017795699997805,,,,,,,,,,,,,,,,,710,22,male,left_right_width,2024-05-27_13h29.02.137,exp1,2023.1.0,59.993184750254386,
3,9.5,10,10.5,0,0,0.5,0.4,0.1,1.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,num_3,2.282681899960153,num_3,0.5,1,0.20000000000000007,1.1,7.6411,42.02605,return,5.21462139999494,,,,,,,,,,,,,,,,,710,22,male,left_right_width,2024-05-27_13h29.02.137,exp1,2023.1.0,59.993184750254386,
3,9,10,11,0,0,1,0.9,0.1,2.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,num_3,2.687033800058998,num_3,0.45,1.1,0.15000000000000008,1.2,5.73083,45.8466,return,5.522511700051837,,,,,,,,,,,,,,,,,710,22,male,left_right_width,2024-05-27_13h29.02.137,exp1,2023.1.0,59.993184750254386,
5,9,9.5,10,10.5,11,0.5,0.09999999999999998,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,8,,,,,,,,,,,,,,,,,,,,num_3,2.5821514000417665,num_3,0.35,0.7,0.49999999999999994,0.7,19.10275,26.74385,return,9.070770399994217,,,,,,,,,,,,,,,,,710,22,male,left_right_width,2024-05-27_13h29.02.137,exp1,2023.1.0,59.993184750254386,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,num_4,2.1384435000363737,num_4,0.55,0.9,0.45,0.9,17.19248,34.38495,return,4.531431799987331,,,,,,,,,,,,,,,,,710,22,male,left_right_width,2024-05-27_13h29.02.137,exp1,2023.1.0,59.993184750254386,
5,8.6,9.3,10,10.7,11.4,0.7,0.29999999999999993,0.4,3.1999999999999997,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,7,,,,,,,,,,,,,,,,,,,,num_4,11.111694000079297,num_4,0.3,0.8,0.35,0.8,13.37193,30.5644,return,6.5220535000553355,,,,,,,,,,,,,,,,,710,22,male,left_right_width,2024-05-27_13h29.02.137,exp1,2023.1.0,59.993184750254386,
4,9.5,9.833333333333334,10.166666666666666,10.5,0,0.33333333333333337,0.23333333333333336,0.1,1.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,3,,,,,,,,,,,,,,,,,,,,num_3,4.286844599992037,num_3,0.55,0.9,0.30000000000000004,1.2,11.46165,45.8466,return,10.1779362000525,,,,,,,,,,,,,,,,,710,22,male,left_right_width,2024-05-27_13h29.02.137,exp1,2023.1.0,59.993184750254386,
5,9.25,9.625,10,10.375,10.75,0.375,0.125,0.25,1.75,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,6,,,,,,,,,,,,,,,,,,,,num_5,1.6719043999910355,num_5,0.2,0.4,0.2,0.45,7.6411,17.19248,return,3.011803000001237,,,,,,,,,,,,,,,,,710,22,male,left_right_width,2024-05-27_13h29.02.137,exp1,2023.1.0,59.993184750254386,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,79.14625310001429,,,,,,,,,,,,,,,710,22,male,left_right_width,2024-05-27_13h29.02.137,exp1,2023.1.0,59.993184750254386,
,,,,,,,,,,,,,,,,3,8.2,10,11.8,0,0,1.8,1.25,0.55,4.15,10,match,36.05,296,361,425,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,0,0,47,,,,,,,,,,,,num_3,3.8039911000523716,num_3,0.55,1.2,0.30000000000000004,1.7,11.46165,64.94936,return,4.866191799985245,,,,,,,,,,,,,,,,,710,22,male,left_right_width,2024-05-27_13h29.02.137,exp1,2023.1.0,59.993184750254386,
,,,,,,,,,,,,,,,,5,7.8,8.9,10,11.1,12.2,1.1,0.55,0.55,4.95,10,initial,36.05,281,321,361,400,440,9,9,9,9,9,,,,,,,0,0,0,0,0,1,1,34,,,,,,,,,,,,num_4,3.2767660999670625,num_4,0.4,0.9,0.4,1.2,15.2822,45.8466,return,2.873063000035472,,,,,,,,,,,,,,,,,710,22,male,left_right_width,2024-05-27_13h29.02.137,exp1,2023.1.0,59.993184750254386,
,,,,,,,,,,,,,,,,5,7.8,8.9,10,11.1,12.2,1.1,0.7000000000000001,0.4,4.800000000000001,10,initial,36.05,281,321,361,400,440,9,9,9,9,9,,,,,,,0,0,0,0,0,2,2,38,,,,,,,,,,,,num_3,1.8472892000572756,num_3,0.55,1.3,0.25000000000000006,1.55,9.55138,59.21853,return,6.828283000038937,,,,,,,,,,,,,,,,,710,22,male,left_right_width,2024-05-27_13h29.02.137,exp1,2023.1.0,59.993184750254386,
,,,,,,,,,,,,,,,,5,8.65,9.325,10,10.675,11.35,0.675,0.275,0.4,3.1,10,match,36.05,312,336,361,385,409,9,9,9,9,9,,,,,,,0,0,0,0,0,3,3,33,,,,,,,,,,,,num_4,1.6361597999930382,num_4,0.55,1.3,0.30000000000000004,1.4,11.46165,53.48771,return,3.665531800012104,,,,,,,,,,,,,,,,,710,22,male,left_right_width,2024-05-27_13h29.02.137,exp1,2023.1.0,59.993184750254386,
,,,,,,,,,,,,,,,,5,8.275,9.1375,10,10.8625,11.725,0.8625,0.6125,0.25,3.7,10,match,36.05,298,329,361,392,423,9,9,9,9,9,,,,,,,0,0,0,0,0,4,4,22,,,,,,,,,,,,num_4,1.628345699980855,num_4,0.55,1.3,0.25000000000000006,1.4,9.55138,53.48771,return,6.795327799976803,,,,,,,,,,,,,,,,,710,22,male,left_right_width,2024-05-27_13h29.02.137,exp1,2023.1.0,59.993184750254386,
,,,,,,,,,,,,,,,,5,8.35,9.175,10,10.825,11.65,0.8250000000000001,0.275,0.55,3.85,10,match,36.05,301,331,361,390,420,9,9,9,9,9,,,,,,,0,0,0,0,0,5,5,18,,,,,,,,,,,,num_4,2.3979202000191435,num_4,0.3,0.6,0.8000000000000002,1.1,30.5644,42.02605,return,10.22104470001068,,,,,,,,,,,,,,,,,710,22,male,left_right_width,2024-05-27_13h29.02.137,exp1,2023.1.0,59.993184750254386,
,,,,,,,,,,,,,,,,4,9.3,9.766666666666667,10.233333333333333,10.7,0,0.4666666666666667,0.06666666666666665,0.4,1.8,10,match,36.05,335,352,369,386,0,9,9,9,9,0,,,,,,,0,0,0,0,0,6,6,10,,,,,,,,,,,,num_3,1.7259555000346154,num_3,0.4,0.9,0.8000000000000003,0.9,30.5644,34.38495,return,11.623697799979709,,,,,,,,,,,,,,,,,710,22,male,left_right_width,2024-05-27_13h29.02.137,exp1,2023.1.0,59.993184750254386,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.5,0.4,2.2,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,7,7,15,,,,,,,,,,,,num_3,2.6481047000270337,num_3,0.4,1.1,0.35000000000000003,1.05,13.37193,40.11578,return,18.82461649994366,,,,,,,,,,,,,,,,,710,22,male,left_right_width,2024-05-27_13h29.02.137,exp1,2023.1.0,59.993184750254386,
,,,,,,,,,,,,,,,,4,8.35,9.45,10.55,11.65,0,1.1,0.7000000000000001,0.4,3.7,10,initial,36.05,301,341,380,420,0,9,9,9,9,0,,,,,,,0,0,0,0,0,8,8,21,,,,,,,,,,,,num_3,2.8415843000402674,num_3,0.35,1.3,0.44999999999999996,1.4,17.19248,53.48771,return,8.96582609997131,,,,,,,,,,,,,,,,,710,22,male,left_right_width,2024-05-27_13h29.02.137,exp1,2023.1.0,59.993184750254386,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.5,0.4,4,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,9,9,50,,,,,,,,,,,,num_4,1.382730600074865,num_4,0.2,1.1,0.35,1.0,13.37193,38.2055,return,7.8491754999849945,,,,,,,,,,,,,,,,,710,22,male,left_right_width,2024-05-27_13h29.02.137,exp1,2023.1.0,59.993184750254386,
,,,,,,,,,,,,,,,,3,9.3,10,10.7,0,0,0.7,0.29999999999999993,0.4,1.8,10,initial,36.05,335,361,386,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,10,10,9,,,,,,,,,,,,num_2,1.5407389000756666,num_2,0.5,1.2,0.5,0.9,19.10275,34.38495,return,11.249529400025494,,,,,,,,,,,,,,,,,710,22,male,left_right_width,2024-05-27_13h29.02.137,exp1,2023.1.0,59.993184750254386,
,,,,,,,,,,,,,,,,3,8.9,10,11.1,0,0,1.1,0.8500000000000001,0.25,2.45,10,initial,36.05,321,361,400,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,11,11,2,,,,,,,,,,,,num_3,2.0215953000588343,num_3,0.25,1,0.2,1.15,7.6411,43.93633,return,4.638938899966888,,,,,,,,,,,,,,,,,710,22,male,left_right_width,2024-05-27_13h29.02.137,exp1,2023.1.0,59.993184750254386,
