"subID","keyboard_condition","trial_type","trial_number","correct_num","response_num","response_rt","correct_space","correct_width","response_width","probe_width","adjustment_duration","stim_length","exp_version","number_deviation","width_deviation","number_deviation_ratio","width_deviation_ratio","actual_pooled_width","response_pooled_width","pooled_width_deviation","width_deviation_relative","absolute_width_deviation"
"p301","left_right_width","match",1,5,4,0.717617699992843,0.675,0.25,0.15,0.25,1.23187739995774,2.95,"exp2",-1,-0.1,-0.2,0.6,1.25,0.6,-0.65,-0.4,0.1
"p301","left_right_width","initial",2,3,3,1.14436069998192,0.7,0.4,0.3,0.4,1.68957969994517,1.8,"exp2",0,-0.1,0,0.75,1.2,0.9,-0.3,-0.25,0.1
"p301","left_right_width","match",3,3,3,0.717966700030956,1.4,0.55,0.35,0.35,1.55232029996114,3.35,"exp2",0,-0.2,0,0.636363636363636,1.65,1.05,-0.6,-0.363636363636364,0.2
"p301","left_right_width","match",4,3,3,1.24402530002408,2.2,0.55,0.35,0.3,2.55184000002919,4.95,"exp2",0,-0.2,0,0.636363636363636,1.65,1.05,-0.6,-0.363636363636364,0.2
"p301","left_right_width","match",5,3,3,1.26733400003286,1.8,0.4,0.3,0.2,1.83984720002627,4,"exp2",0,-0.1,0,0.75,1.2,0.9,-0.3,-0.25,0.1
"p301","left_right_width","match",6,5,4,0.818475699983537,0.8625,0.25,0.2,0.2,1.40913759998512,3.7,"exp2",-1,-0.05,-0.2,0.8,1.25,0.8,-0.45,-0.2,0.05
"p301","left_right_width","initial",7,3,3,1.05227520002518,0.9,0.4,0.3,0.25,2.09635250002611,2.2,"exp2",0,-0.1,0,0.75,1.2,0.9,-0.3,-0.25,0.1
"p301","left_right_width","match",8,5,4,1.22266979998676,0.525,0.4,0.3,0.25,1.38000619999366,2.5,"exp2",-1,-0.1,-0.2,0.75,2,1.2,-0.8,-0.25,0.1
"p301","left_right_width","initial",9,5,4,0.822616600024048,0.7,0.25,0.25,0.55,1.98724119999679,3.05,"exp2",-1,5.55111512312578e-17,-0.2,1,1.25,1,-0.25,2.22044604925031e-16,5.55111512312578e-17
"p301","left_right_width","initial",10,5,4,0.621313899988309,0.9,0.55,0.35,0.25,1.29944889998296,4.15,"exp2",-1,-0.2,-0.2,0.636363636363636,2.75,1.4,-1.35,-0.363636363636364,0.2
"p301","left_right_width","match",11,3,3,0.716011899989098,1.475,0.25,0.25,0.45,2.17496869998286,3.2,"exp2",0,5.55111512312578e-17,0,1,0.75,0.75,2.22044604925031e-16,2.22044604925031e-16,5.55111512312578e-17
"p301","left_right_width","initial",12,3,3,1.43553069996415,0.9,0.55,0.35,0.3,1.4412003000034,2.35,"exp2",0,-0.2,0,0.636363636363636,1.65,1.05,-0.6,-0.363636363636364,0.2
"p301","left_right_width","match",13,4,3,1.63561900000786,0.466666666666667,0.25,0.25,0.25,1.72933800000465,1.65,"exp2",-1,0,-0.25,1,1,0.75,-0.25,0,0
"p301","left_right_width","initial",14,3,3,0.670555500022601,0.7,0.25,0.2,0.55,2.19457819999661,1.65,"exp2",0,-0.0499999999999999,0,0.8,0.75,0.6,-0.15,-0.2,0.0499999999999999
"p301","left_right_width","initial",15,5,4,0.606961900019087,1.1,0.4,0.3,0.3,1.44457509997301,4.8,"exp2",-1,-0.1,-0.2,0.75,2,1.2,-0.8,-0.25,0.1
"p301","left_right_width","initial",16,4,4,0.71307880000677,1.1,0.4,0.3,0.55,2.34652670001378,3.7,"exp2",0,-0.1,0,0.75,1.6,1.2,-0.4,-0.25,0.1
"p301","left_right_width","match",17,3,3,0.814943800040055,2.2,0.4,0.25,0.4,1.59661880001659,4.8,"exp2",0,-0.15,0,0.625,1.2,0.75,-0.45,-0.375,0.15
"p301","left_right_width","initial",18,5,4,1.07265530002769,0.7,0.55,0.3,0.35,2.66044130001683,3.35,"exp2",-1,-0.25,-0.2,0.545454545454545,2.75,1.2,-1.55,-0.454545454545455,0.25
