amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_lengt_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,posx,setsize_cobdi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,first.thisRepN,first.thisTrialN,first.thisN,first.thisIndex,second.thisRepN,second.thisTrialN,second.thisN,second.thisIndex,thisRow.t,notes,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,response,starting_width_deg,response_width_degree,response_width_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_4.started,key_resp_2.started,text_2.started,key_resp_2.keys,key_resp_2.rt,adjusting.started,next.keys,next.rt,text_control2.started,key_resp.started,key_resp.corr,text_bye.started,text_bye.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0699254,c,249.4528209,,,,,,,,,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
5,9,9.5,10,10.5,11,0.5,0.1,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,6,3.7515795,6,0.2,0.15,5.40644,return,6.8163234,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
5,9.25,9.625,10,10.375,10.75,0.375,0.125,0.25,1.75,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,5,4.1129104,5,0.45,0.2,7.20859,return,4.2995363,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
3,9,10,11,0,0,1,0.9,0.1,2.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,4,4.0136702,4,0.55,0.1,3.60429,return,5.3070031,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,4,2.3791514,4,0.55,0.3,10.81288,return,3.4180212,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
3,8.2,10,11.8,0,0,1.8,1.4,0.4,4,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,3,1.8452913,3,0.45,0.4,14.41717,return,2.2341672,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
4,9.5,9.833333333,10.16666667,10.5,0,0.333333333,0.233333333,0.1,1.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,4,2.5325715,4,0.35,0.1,3.60429,return,2.3987096,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
5,8.6,9.3,10,10.7,11.4,0.7,0.3,0.4,3.2,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,5,1.7653069,5,0.55,0.35,12.61502,return,2.6532224,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
3,9.5,10,10.5,0,0,0.5,0.4,0.1,1.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,4,2.2820564,4,0.45,0.1,3.60429,return,2.4142229,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,5,,,,,,,,,,,,,,,,,,,,,,4,1.7755542,4,0.5,0.35,12.61502,return,1.7824783,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,321.2138307,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,5,8.95,9.475,10,10.525,11.05,0.525,0.125,0.4,2.5,10,match,36.05,323,342,361,379,398,9,9,9,9,9,,,,,,,0,0,0,0,0,0,0,27,,,,,,,,,,,,,,5,1.9398127,5,0.5,0.45,16.21932,return,2.8062373,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.5,0.4,4,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,1,1,50,,,,,,,,,,,,,,5,2.5782734,5,0.35,0.4,14.41717,return,2.2177172,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,4,9.3,9.766666667,10.23333333,10.7,0,0.466666667,0.066666667,0.4,1.8,10,match,36.05,335,352,369,386,0,9,9,9,9,0,,,,,,,0,0,0,0,0,2,2,10,,,,,,,,,,,,,,4,1.5412992,4,0.3,0.35,12.61502,return,2.1491998,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,3,8.2,10,11.8,0,0,1.8,1.25,0.55,4.15,10,match,36.05,296,361,425,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,3,3,47,,,,,,,,,,,,,,4,1.4898348,4,0.55,0.5,18.02146,return,1.6050985,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,5,8.65,9.325,10,10.675,11.35,0.675,0.125,0.55,3.25,10,match,36.05,312,336,361,385,409,9,9,9,9,9,,,,,,,0,0,0,0,0,4,4,29,,,,,,,,,,,,,,6,2.273923,6,0.5,0.45,16.21932,return,1.572512,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,4,8.35,9.45,10.55,11.65,0,1.1,0.7,0.4,3.7,10,initial,36.05,301,341,380,420,0,9,9,9,9,0,,,,,,,0,0,0,0,0,5,5,21,,,,,,,,,,,,,,5,2.8472693,5,0.3,0.45,16.21932,return,4.1093023,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.65,0.25,2.05,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,6,6,13,,,,,,,,,,,,,,4,1.8878092,4,0.35,0.2,7.20859,return,1.330951,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,3,8.2,10,11.8,0,0,1.8,1.4,0.4,4,10,match,36.05,296,361,425,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,7,7,51,,,,,,,,,,,,,,3,1.3493652,3,0.55,0.4,14.41717,return,2.5262683,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,4,8.9,9.633333333,10.36666667,11.1,0,0.733333333,0.183333333,0.55,2.75,10,match,36.05,321,347,374,400,0,9,9,9,9,0,,,,,,,0,0,0,0,0,8,8,1,,,,,,,,,,,,,,5,3.346246,5,0.35,0.45,16.21932,return,1.5477689,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,5,8.275,9.1375,10,10.8625,11.725,0.8625,0.6125,0.25,3.7,10,match,36.05,298,329,361,392,423,9,9,9,9,9,,,,,,,0,0,0,0,0,9,9,22,,,,,,,,,,,,,,6,1.3508358,6,0.3,0.2,7.20859,return,1.5185158,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,5,8.65,9.325,10,10.675,11.35,0.675,0.425,0.25,2.95,10,match,36.05,312,336,361,385,409,9,9,9,9,9,,,,,,,0,0,0,0,0,10,10,31,,,,,,,,,,,,,,5,3.4399178,5,0.2,0.25,9.01073,return,1.6041167,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,3,9.3,10,10.7,0,0,0.7,0.3,0.4,1.8,10,initial,36.05,335,361,386,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,11,11,9,,,,,,,,,,,,,,4,1.415821,4,0.4,0.3,10.81288,return,2.0623411,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,3,8.6,10,11.4,0,0,1.4,0.85,0.55,3.35,10,match,36.05,310,361,411,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,12,12,41,,,,,,,,,,,,,,4,1.1391796,4,0.45,0.45,16.21932,return,0.7873045,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,4,9.3,9.766666667,10.23333333,10.7,0,0.466666667,0.216666667,0.25,1.65,10,match,36.05,335,352,369,386,0,9,9,9,9,0,,,,,,,0,0,0,0,0,13,13,8,,,,,,,,,,,,,,3,2.9078067,3,0.55,0.25,9.01073,return,2.2143614,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,5,7.8,8.9,10,11.1,12.2,1.1,0.85,0.25,4.65,10,initial,36.05,281,321,361,400,440,9,9,9,9,9,,,,,,,0,0,0,0,0,14,14,36,,,,,,,,,,,,,,5,1.3328333,5,0.5,0.2,7.20859,return,2.2387049,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,5,8.95,9.475,10,10.525,11.05,0.525,0.275,0.25,2.35,10,match,36.05,323,342,361,379,398,9,9,9,9,9,,,,,,,0,0,0,0,0,15,15,25,,,,,,,,,,,,,,6,1.7262324,6,0.45,0.25,9.01073,return,2.4396336,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,3,7.8,10,12.2,0,0,2.2,1.65,0.55,4.95,10,match,36.05,281,361,440,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,16,16,35,,,,,,,,,,,,,,3,1.2737321,3,0.45,0.5,18.02146,return,1.1096067,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,4,9.1,9.7,10.3,10.9,0,0.6,0.2,0.4,2.2,10,match,36.05,328,350,371,393,0,9,9,9,9,0,,,,,,,0,0,0,0,0,17,17,16,,,,,,,,,,,,,,6,1.957904,6,0.2,0.4,14.41717,return,3.7181211,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,3,8.525,10,11.475,0,0,1.475,1.225,0.25,3.2,10,match,36.05,307,361,414,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,18,18,45,,,,,,,,,,,,,,3,1.8743956,3,0.4,0.25,9.01073,return,2.0864227,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,5,8.6,9.3,10,10.7,11.4,0.7,0.15,0.55,3.35,10,initial,36.05,310,335,361,386,411,9,9,9,9,9,,,,,,,0,0,0,0,0,19,19,40,,,,,,,,,,,,,,5,2.0450922,5,0.55,0.45,16.21932,return,1.3214157,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,4,9.1,9.7,10.3,10.9,0,0.6,0.05,0.55,2.35,10,match,36.05,328,350,371,393,0,9,9,9,9,0,,,,,,,0,0,0,0,0,20,20,12,,,,,,,,,,,,,,4,2.8864641,4,0.2,0.55,19.82361,return,1.6175196,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,5,8.35,9.175,10,10.825,11.65,0.825,0.275,0.55,3.85,10,match,36.05,301,331,361,390,420,9,9,9,9,9,,,,,,,0,0,0,0,0,21,21,18,,,,,,,,,,,,,,6,1.185852,6,0.35,0.45,16.21932,return,1.5060313,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,5,8.6,9.3,10,10.7,11.4,0.7,0.45,0.25,3.05,10,initial,36.05,310,335,361,386,411,9,9,9,9,9,,,,,,,0,0,0,0,0,22,22,42,,,,,,,,,,,,,,5,2.8598778,5,0.35,0.25,9.01073,return,1.6091119,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,4,9.1,9.7,10.3,10.9,0,0.6,0.35,0.25,2.05,10,match,36.05,328,350,371,393,0,9,9,9,9,0,,,,,,,0,0,0,0,0,23,23,14,,,,,,,,,,,,,,4,1.3709981,4,0.35,0.2,7.20859,return,1.2515863,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,4,8.95,9.65,10.35,11.05,0,0.7,0.15,0.55,2.65,10,initial,36.05,323,348,373,398,0,9,9,9,9,0,,,,,,,0,0,0,0,0,24,24,23,,,,,,,,,,,,,,5,1.7644499,5,0.3,0.4,14.41717,return,1.2770458,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,5,8.6,9.3,10,10.7,11.4,0.7,0.3,0.4,3.2,10,initial,36.05,310,335,361,386,411,9,9,9,9,9,,,,,,,0,0,0,0,0,25,25,44,,,,,,,,,,,,,,5,2.4065617,5,0.2,0.35,12.61502,return,1.5419707,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,4,8.35,9.45,10.55,11.65,0,1.1,0.85,0.25,3.55,10,initial,36.05,301,341,380,420,0,9,9,9,9,0,,,,,,,0,0,0,0,0,26,26,19,,,,,,,,,,,,,,4,2.451778,4,0.2,0.2,7.20859,return,1.3769512,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,27,27,11,,,,,,,,,,,,,,4,2.1470535,4,0.35,0.35,12.61502,return,1.2445442,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,28,28,28,,,,,,,,,,,,,,4,2.3329602,4,0.45,0.45,16.21932,return,2.3664204,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,4,8.9,9.633333333,10.36666667,11.1,0,0.733333333,0.483333333,0.25,2.45,10,match,36.05,321,347,374,400,0,9,9,9,9,0,,,,,,,0,0,0,0,0,29,29,3,,,,,,,,,,,,,,4,2.9505511,4,0.3,0.2,7.20859,return,1.2791229,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,30,30,32,,,,,,,,,,,,,,5,2.8738301,5,0.35,0.35,12.61502,return,0.9491443,,,,,,,,,,,,,,,,,p307,31,female,up_down_width,2025-11-26_10h46.13.411,exp1,2023.1.0,59.99109732
