amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_lengt_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,posx,setsize_cobdi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,first.thisRepN,first.thisTrialN,first.thisN,first.thisIndex,second.thisRepN,second.thisTrialN,second.thisN,second.thisIndex,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_4.started,key_resp_2.started,text_2.started,key_resp_2.keys,key_resp_2.rt,adjusting.started,next.keys,next.rt,text_control2.started,key_resp.started,key_resp.corr,text_bye.started,text_bye.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.76074320000001,c,130.46704159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,714,22,male,up_down_width,2024-08-26_10h59.32.803,exp1,2023.1.0,59.83441424202769,
3,9.5,10,10.5,0,0,0.5,0.4,0.1,1.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,num_5,13.066005699999948,num_5,0.5,0.8,0.4,0.8,15.2822,30.5644,return,21.975366399999984,,,,,,,,,,,,,,,,,714,22,male,up_down_width,2024-08-26_10h59.32.803,exp1,2023.1.0,59.83441424202769,
3,9,10,11,0,0,1,0.9,0.1,2.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,num_3,1.7784685999999965,num_3,0.55,1.1,0.05000000000000007,1.1,1.91028,42.02605,return,5.337600099999975,,,,,,,,,,,,,,,,,714,22,male,up_down_width,2024-08-26_10h59.32.803,exp1,2023.1.0,59.83441424202769,
5,9.25,9.625,10,10.375,10.75,0.375,0.125,0.25,1.75,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,num_4,1.9249047999999789,num_4,0.55,0.7,0.30000000000000004,0.7,11.46165,26.74385,return,3.303266800000017,,,,,,,,,,,,,,,,,714,22,male,up_down_width,2024-08-26_10h59.32.803,exp1,2023.1.0,59.83441424202769,
4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,num_4,1.4891855999999848,num_4,0.5,0.8,0.4,0.8,15.2822,30.5644,return,7.315934999999996,,,,,,,,,,,,,,,,,714,22,male,up_down_width,2024-08-26_10h59.32.803,exp1,2023.1.0,59.83441424202769,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,num_4,2.115226299999989,num_4,0.45,0.7,0.25000000000000006,0.8,9.55138,30.5644,return,4.8615187999999705,,,,,,,,,,,,,,,,,714,22,male,up_down_width,2024-08-26_10h59.32.803,exp1,2023.1.0,59.83441424202769,
5,9,9.5,10,10.5,11,0.5,0.09999999999999998,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,8,,,,,,,,,,,,,,,,,,,,num_4,1.4684263000000044,num_4,0.45,0.6,0.35000000000000003,0.7,13.37193,26.74385,return,8.78460830000003,,,,,,,,,,,,,,,,,714,22,male,up_down_width,2024-08-26_10h59.32.803,exp1,2023.1.0,59.83441424202769,
5,8.6,9.3,10,10.7,11.4,0.7,0.29999999999999993,0.4,3.1999999999999997,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,7,,,,,,,,,,,,,,,,,,,,num_4,1.7948148999999773,num_4,0.5,0.8,0.35000000000000003,0.8,13.37193,30.5644,return,6.090202000000005,,,,,,,,,,,,,,,,,714,22,male,up_down_width,2024-08-26_10h59.32.803,exp1,2023.1.0,59.83441424202769,
3,8.2,10,11.8,0,0,1.7999999999999998,1.4,0.4,4,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,2,,,,,,,,,,,,,,,,,,,,num_3,1.5012630000000229,num_3,0.3,0.4,0.35,1.0,13.37193,38.2055,return,9.964684199999994,,,,,,,,,,,,,,,,,714,22,male,up_down_width,2024-08-26_10h59.32.803,exp1,2023.1.0,59.83441424202769,
4,9.5,9.833333333333334,10.166666666666666,10.5,0,0.33333333333333337,0.23333333333333336,0.1,1.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,3,,,,,,,,,,,,,,,,,,,,num_3,1.3749703999999667,num_3,0.2,1.2,0.15000000000000002,1.2,5.73083,45.8466,return,3.67848989999996,,,,,,,,,,,,,,,,,714,22,male,up_down_width,2024-08-26_10h59.32.803,exp1,2023.1.0,59.83441424202769,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,126.94428789999992,,,,,,,,,,,,,,,714,22,male,up_down_width,2024-08-26_10h59.32.803,exp1,2023.1.0,59.83441424202769,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,0,0,28,,,,,,,,,,,,num_4,1.075293999999957,num_4,0.25,0.6,0.39999999999999997,0.8,15.2822,30.5644,return,3.528365199999911,,,,,,,,,,,,,,,,,714,22,male,up_down_width,2024-08-26_10h59.32.803,exp1,2023.1.0,59.83441424202769,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,1,1,32,,,,,,,,,,,,num_4,1.011182899999966,num_4,0.35,1.2,0.35,0.8,13.37193,30.5644,return,3.433590799999905,,,,,,,,,,,,,,,,,714,22,male,up_down_width,2024-08-26_10h59.32.803,exp1,2023.1.0,59.83441424202769,
,,,,,,,,,,,,,,,,3,7.8,10,12.2,0,0,2.2,1.65,0.55,4.95,10,match,36.05,281,361,440,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,2,2,35,,,,,,,,,,,,num_3,1.333471899999921,num_3,0.2,0.8,0.39999999999999997,1.2,15.2822,45.8466,return,7.59795619999997,,,,,,,,,,,,,,,,,714,22,male,up_down_width,2024-08-26_10h59.32.803,exp1,2023.1.0,59.83441424202769,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.65,0.25,2.95,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,3,3,30,,,,,,,,,,,,num_4,0.8127006000000563,num_4,0.25,0.4,0.25,0.8,9.55138,30.5644,return,3.2745150999998884,,,,,,,,,,,,,,,,,714,22,male,up_down_width,2024-08-26_10h59.32.803,exp1,2023.1.0,59.83441424202769,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.65,0.25,3.85,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,4,4,48,,,,,,,,,,,,num_4,0.9759697000000358,num_4,0.25,1.3,0.25,1.3,9.55138,49.66716,return,1.1121783999999195,,,,,,,,,,,,,,,,,714,22,male,up_down_width,2024-08-26_10h59.32.803,exp1,2023.1.0,59.83441424202769,
