"participant","correct_width","response_width_degree","width_deviation","exp_version"
1,0.1,0.1,0,"Exp1A"
1,0.25,0.2,-0.05,"Exp1A"
1,0.4,0.35,-0.05,"Exp1A"
1,0.1,1.38777878078145e-17,-0.1,"Exp1A"
1,0.25,0.3,0.05,"Exp1A"
1,0.4,0.25,-0.15,"Exp1A"
1,0.4,0.4,0,"Exp1A"
1,0.1,0.1,0,"Exp1A"
1,0.25,0.15,-0.1,"Exp1A"
1,0.4,0.45,0.05,"Exp1A"
1,0.1,0.05,-0.05,"Exp1A"
1,0.25,0.1,-0.15,"Exp1A"
1,0.4,0.45,0.05,"Exp1A"
1,0.25,0.15,-0.1,"Exp1A"
1,0.1,0.1,0,"Exp1A"
1,0.1,0.1,0,"Exp1A"
1,0.4,0.5,0.1,"Exp1A"
1,0.25,0.2,-0.05,"Exp1A"
10,0.25,0.2,-0.05,"Exp1A"
10,0.4,0.35,-0.05,"Exp1A"
10,0.1,0.15,0.05,"Exp1A"
10,0.4,0.35,-0.05,"Exp1A"
10,0.25,0.25,0,"Exp1A"
10,0.1,0.1,0,"Exp1A"
10,0.25,0.3,0.05,"Exp1A"
10,0.1,0.15,0.05,"Exp1A"
10,0.4,0.35,-0.05,"Exp1A"
10,0.4,0.35,-0.05,"Exp1A"
10,0.25,0.3,0.05,"Exp1A"
10,0.1,0.15,0.05,"Exp1A"
10,0.25,0.15,-0.1,"Exp1A"
10,0.1,0.1,0,"Exp1A"
10,0.4,0.25,-0.15,"Exp1A"
10,0.1,0.25,0.15,"Exp1A"
10,0.4,0.4,0,"Exp1A"
10,0.25,0.25,0,"Exp1A"
11,0.25,0.3,0.05,"Exp1A"
11,0.1,0.1,0,"Exp1A"
11,0.4,0.3,-0.1,"Exp1A"
11,0.1,0.05,-0.05,"Exp1A"
11,0.25,0.15,-0.1,"Exp1A"
11,0.4,0.3,-0.1,"Exp1A"
11,0.1,0.15,0.05,"Exp1A"
11,0.25,0.15,-0.1,"Exp1A"
11,0.4,0.4,0,"Exp1A"
11,0.4,0.25,-0.15,"Exp1A"
11,0.1,0.05,-0.05,"Exp1A"
11,0.25,0.1,-0.15,"Exp1A"
11,0.1,0.05,-0.05,"Exp1A"
11,0.4,0.25,-0.15,"Exp1A"
11,0.25,0.1,-0.15,"Exp1A"
11,0.25,0.15,-0.1,"Exp1A"
11,0.1,0.1,0,"Exp1A"
11,0.4,0.35,-0.05,"Exp1A"
12,0.1,0.15,0.05,"Exp1A"
12,0.25,0.2,-0.05,"Exp1A"
12,0.4,0.3,-0.1,"Exp1A"
12,0.4,0.2,-0.2,"Exp1A"
12,0.25,0.2,-0.05,"Exp1A"
12,0.1,0.05,-0.05,"Exp1A"
12,0.25,0.2,-0.05,"Exp1A"
12,0.4,0.35,-0.05,"Exp1A"
12,0.1,0.1,0,"Exp1A"
12,0.25,0.1,-0.15,"Exp1A"
12,0.4,0.4,0,"Exp1A"
12,0.1,0.1,0,"Exp1A"
12,0.1,0.1,0,"Exp1A"
12,0.25,0.25,0,"Exp1A"
12,0.4,0.3,-0.1,"Exp1A"
12,0.1,0.05,-0.05,"Exp1A"
12,0.4,0.2,-0.2,"Exp1A"
12,0.25,0.2,-0.05,"Exp1A"
13,0.4,0.2,-0.2,"Exp1A"
13,0.25,0.2,-0.05,"Exp1A"
13,0.1,0.05,-0.05,"Exp1A"
13,0.25,0.2,-0.05,"Exp1A"
13,0.1,0.1,0,"Exp1A"
13,0.4,0.4,0,"Exp1A"
13,0.1,0.25,0.15,"Exp1A"
13,0.25,0.4,0.15,"Exp1A"
13,0.4,0.5,0.1,"Exp1A"
13,0.4,0.45,0.05,"Exp1A"
13,0.1,0.35,0.25,"Exp1A"
13,0.25,0.2,-0.05,"Exp1A"
13,0.1,0.25,0.15,"Exp1A"
13,0.25,0.3,0.05,"Exp1A"
13,0.4,0.4,0,"Exp1A"
13,0.4,0.35,-0.05,"Exp1A"
13,0.25,0.3,0.05,"Exp1A"
13,0.1,0.1,0,"Exp1A"
14,0.4,0.35,-0.05,"Exp1A"
14,0.1,0.15,0.05,"Exp1A"
14,0.25,0.2,-0.05,"Exp1A"
14,0.1,0.15,0.05,"Exp1A"
14,0.25,0.35,0.1,"Exp1A"
14,0.4,0.35,-0.05,"Exp1A"
14,0.1,0.15,0.05,"Exp1A"
14,0.25,0.2,-0.05,"Exp1A"
14,0.4,0.45,0.05,"Exp1A"
14,0.4,0.3,-0.1,"Exp1A"
14,0.1,0.1,0,"Exp1A"
14,0.25,0.3,0.05,"Exp1A"
14,0.1,0.1,0,"Exp1A"
14,0.25,0.25,0,"Exp1A"
14,0.4,0.45,0.05,"Exp1A"
14,0.4,0.4,0,"Exp1A"
14,0.25,0.3,0.05,"Exp1A"
14,0.1,0.1,0,"Exp1A"
15,0.25,0.2,-0.05,"Exp1A"
15,0.4,0.2,-0.2,"Exp1A"
15,0.1,0.1,0,"Exp1A"
15,0.1,0.1,0,"Exp1A"
15,0.25,0.2,-0.05,"Exp1A"
15,0.4,0.35,-0.05,"Exp1A"
15,0.4,0.4,0,"Exp1A"
15,0.25,0.2,-0.05,"Exp1A"
15,0.1,0.1,0,"Exp1A"
15,0.4,0.3,-0.1,"Exp1A"
15,0.25,0.2,-0.05,"Exp1A"
15,0.1,0.1,0,"Exp1A"
15,0.4,0.35,-0.05,"Exp1A"
15,0.1,0.25,0.15,"Exp1A"
15,0.25,0.2,-0.05,"Exp1A"
15,0.4,0.35,-0.05,"Exp1A"
15,0.1,0.1,0,"Exp1A"
15,0.25,0.35,0.1,"Exp1A"
16,0.4,0.4,0,"Exp1A"
16,0.1,0.1,0,"Exp1A"
16,0.25,0.25,0,"Exp1A"
16,0.1,0.1,0,"Exp1A"
16,0.25,0.2,-0.05,"Exp1A"
16,0.4,0.4,0,"Exp1A"
16,0.25,0.2,-0.05,"Exp1A"
16,0.1,0.05,-0.05,"Exp1A"
16,0.4,0.35,-0.05,"Exp1A"
16,0.4,0.55,0.15,"Exp1A"
16,0.25,0.4,0.15,"Exp1A"
16,0.1,0.1,0,"Exp1A"
16,0.1,0.1,0,"Exp1A"
16,0.25,0.25,0,"Exp1A"
16,0.4,0.45,0.05,"Exp1A"
16,0.1,0.15,0.05,"Exp1A"
16,0.25,0.2,-0.05,"Exp1A"
16,0.4,0.5,0.1,"Exp1A"
17,0.1,0.15,0.05,"Exp1A"
17,0.25,0.15,-0.1,"Exp1A"
17,0.4,0.45,0.05,"Exp1A"
17,0.4,0.6,0.2,"Exp1A"
17,0.25,0.15,-0.1,"Exp1A"
17,0.1,0.05,-0.05,"Exp1A"
17,0.1,0.05,-0.05,"Exp1A"
17,0.25,0.15,-0.1,"Exp1A"
17,0.4,0.35,-0.05,"Exp1A"
17,0.1,0.1,0,"Exp1A"
17,0.25,0.1,-0.15,"Exp1A"
17,0.4,0.35,-0.05,"Exp1A"
17,0.1,0.1,0,"Exp1A"
17,0.25,0.3,0.05,"Exp1A"
17,0.4,0.45,0.05,"Exp1A"
17,0.1,0.1,0,"Exp1A"
17,0.4,0.35,-0.05,"Exp1A"
17,0.25,0.45,0.2,"Exp1A"
18,0.1,0.25,0.15,"Exp1A"
18,0.25,0.2,-0.05,"Exp1A"
18,0.4,0.35,-0.05,"Exp1A"
18,0.4,0.3,-0.1,"Exp1A"
18,0.1,0.1,0,"Exp1A"
18,0.25,0.2,-0.05,"Exp1A"
18,0.1,0.1,0,"Exp1A"
18,0.25,0.15,-0.1,"Exp1A"
18,0.4,0.3,-0.1,"Exp1A"
18,0.4,0.3,-0.1,"Exp1A"
18,0.1,0.1,0,"Exp1A"
18,0.25,0.25,0,"Exp1A"
18,0.25,0.2,-0.05,"Exp1A"
