"rm_type","spacing_category","correct_num","emmean","SE","df","asymp.LCL","asymp.UCL"
"NoRM","Smaller","3",0.0743585279956876,0.0285391386109287,Inf,0.0184228441684709,0.130294211822904
"RM","Smaller","3",0.206054646856309,0.0381358001925577,Inf,0.13130985195728,0.280799441755338
"NoRM","Middle","3",0.0229352147507014,0.0286919454052815,Inf,-0.0332999648900398,0.0791703943914427
"RM","Middle","3",0.277172454983438,0.0376869952131473,Inf,0.203307301680136,0.35103760828674
"NoRM","Larger","3",-0.395785435245004,0.0242299195585913,Inf,-0.443275204928145,-0.348295665561862
"RM","Larger","3",0.25964578571711,0.0289570382813056,Inf,0.202891033586804,0.316400537847417
"NoRM","Smaller","4",0.0732613111409027,0.025768254668101,Inf,0.0227564600469686,0.123766162234837
"RM","Smaller","4",0.211259034862376,0.027533896745795,Inf,0.157293588886573,0.265224480838179
"NoRM","Middle","4",0.0110173347832525,0.0268634103601214,Inf,-0.0416339820245057,0.0636686515910106
"RM","Middle","4",0.138730635050052,0.0338060816663567,Inf,0.0724719325255728,0.204989337574531
"NoRM","Larger","4",-0.108868702329383,0.0290064619252661,Inf,-0.165720323021837,-0.0520170816369296
"RM","Larger","4",0.0232846118807914,0.0388858622967162,Inf,-0.0529302777285563,0.0994995014901392
"NoRM","Smaller","5",0.0524375709455985,0.0278306723290681,Inf,-0.00210954448491047,0.106984686376107
"RM","Smaller","5",0.142575007590478,0.0257529779679189,Inf,0.0921000982787035,0.193049916902253
"NoRM","Middle","5",-0.0259649972547158,0.0284160569593749,Inf,-0.0816594454777294,0.0297294509682979
"RM","Middle","5",0.0964101229617827,0.0285300692137147,Inf,0.040492214826467,0.152328031097098
"NoRM","Larger","5",-0.175177157363114,0.0318416169952363,Inf,-0.237585579883296,-0.112768734842932
"RM","Larger","5",0.00696656109575687,0.0315260944723473,Inf,-0.054823448643251,0.0687565708347648
