"rm_type","correct_width","correct_num","emmean","SE","df","asymp.LCL","asymp.UCL"
"NoRM","0.25","3",-0.00462193120387821,0.00924394054179164,Inf,-0.0227397217410195,0.0134958593332631
"RM","0.25","3",0.0109743810898351,0.0121237935989537,Inf,-0.0127878177201114,0.0347365798997815
"NoRM","0.4","3",-0.0230298732849095,0.00923381521926116,Inf,-0.0411278185545592,-0.00493192801525983
"RM","0.4","3",0.047440227148077,0.0129861442609682,Inf,0.0219878520985378,0.0728926021976162
"NoRM","0.55","3",-0.0739558111902741,0.0092768126551836,Inf,-0.0921380298857594,-0.0557735924947889
"RM","0.55","3",0.0231134508132324,0.0119793572161351,Inf,-0.000365657888332427,0.0465925595147972
"NoRM","0.25","4",-0.0173925107462879,0.00892310363123474,Inf,-0.0348814724938265,9.64510012508059e-05
"RM","0.25","4",-0.00412938759939084,0.0110318486161176,Inf,-0.0257514135698793,0.0174926383710976
"NoRM","0.4","4",-0.0331570273319768,0.00946784756095879,Inf,-0.0517136675625714,-0.0146003871013822
"RM","0.4","4",0.000233721549990223,0.013046512602583,Inf,-0.0253369732749204,0.0258044163749008
"NoRM","0.55","4",-0.0777799018485951,0.00936827342430251,Inf,-0.0961413803575517,-0.0594184233396385
"RM","0.55","4",-0.0247642919259494,0.0112438395027038,Inf,-0.0468018123991976,-0.00272677145270111
"NoRM","0.25","5",-0.013741341936842,0.00971317277183858,Inf,-0.0327788107452607,0.00529612687157672
"RM","0.25","5",-0.00103839023739151,0.00947556758311261,Inf,-0.0196101614333675,0.0175333809585844
"NoRM","0.4","5",-0.0442386941291502,0.0103307800501097,Inf,-0.0644866509595702,-0.0239907372987303
"RM","0.4","5",-0.0247192567920006,0.0102663141840753,Inf,-0.0448408628467608,-0.00459765073724031
"NoRM","0.55","5",-0.102262568453552,0.0103000971367997,Inf,-0.122450387878943,-0.0820747490281603
"RM","0.55","5",-0.0673288427792052,0.00975233948122914,Inf,-0.0864430769274223,-0.0482146086309881
